"","Location.Sample.Date","compre_keep","Season","Facility","Object","Room","RoomType","Risk","Soil","Touch","Material","YM","Moisture","Continuity","Area","samples","Mat_cat","Freq_cat","Humid","Temp","Fill_bins_YM","Log10YM","Frequency","variable","value","se"
"11","NL.03.3","yes","Winter","Facility3","Forklift/Pallet Jack","Dry Storage","Warehouse",3,"Yes","No","Metal",520000,"Dry","Continuous","Storage","sample-108","Metal","As needed",NA,NA,NA,NA,"None/as needed","Shannon",1.1151755142282,NA
"12","NL.32.3","no","Winter","Facility3","FPE Structure","Filling","Filling",2,"Yes","No","Stainless Steel",356000,"Wet","Continuous","Production","sample-109","Stainless Steel","Daily",NA,NA,NA,NA,"Daily","Shannon",0.649252235395117,NA
"13","B.18.4","no","Spring","Facility2","Wall/Ceiling","Filling","Filling",3,"Yes","No","Painted Metal, Sealed Stone, Caulk",9600,"Dry","Continuous","Production","sample-11","Painted Metal, Sealed Stone, Caulk","Weekly","Standard (30-60)","Cool (~60-68)","Medium",3.98,"Weekly","Shannon",1.45516638516892,NA
"14","NL.35.2","no","Fall","Facility3","Door","Cold Storage","Warehouse",3,"Yes","No","Tarp",0,"Wet","Continuous","Storage","sample-110","Plastic","None","Standard/Dry(0-30)","Cold(~55-40)","Low",0,"None","Shannon",1.17220076649745,NA
"15","NL.37.2","no","Fall","Facility3","Conveyor","Filling","Filling",2,"Yes","No","Rubber",200,"Dry","Continuous","Production","sample-111","Rubber","Daily",NA,NA,NA,NA,"Daily","Shannon",1.69658651113863,NA
"16","NL.37.3","no","Winter","Facility3","Conveyor","Filling","Filling",2,"Yes","No","Rubber",0,"Dry","Continuous","Production","sample-112","Rubber","Daily",NA,NA,NA,NA,"Daily","Shannon",2.56342700581053,NA
"17","NL.39.2","no","Fall","Facility3","Conveyor","Filling","Filling",2,"Yes","No","Rubber",0,"Dry","Continuous","Production","sample-113","Rubber","Daily",NA,NA,NA,NA,"Daily","Shannon",1.43446520074506,NA
"18","NL.04.2","yes","Fall","Facility3","Forklift/Pallet Jack","Dry Storage","Warehouse",3,"Yes","No","Rubber, painted metal",50,"Dry","Continuous","Storage","sample-114","Rubber","As needed",NA,NA,NA,NA,"None/as needed","Shannon",3.35182928899824,NA
"19","NL.04.4","yes","Spring","Facility3","Forklift/Pallet Jack","Dry Storage","Warehouse",3,"Yes","No","Rubber, painted metal",2400,"Dry","Continuous","Storage","sample-115","Rubber","As needed",NA,NA,NA,NA,"None/as needed","Shannon",3.74664118392267,NA
"20","NL.04.3","yes","Winter","Facility3","Forklift/Pallet Jack","Dry Storage","Warehouse",3,"Yes","No","Rubber, painted metal",800,"Dry","Continuous","Storage","sample-116","Rubber","As needed",NA,NA,NA,NA,"None/as needed","Shannon",2.60548233894237,NA
"21","NL.40.2","no","Fall","Facility3","Drain","Filling","Filling",3,"Yes","No","Stainless Steel",0,"Wet","Continuous","Production","sample-117","Stainless Steel","Daily",NA,NA,NA,NA,"Daily","Shannon",1.00435284265203,NA
"22","NL.40.4","no","Spring","Facility3","Drain","Filling","Filling",3,"Yes","No","Stainless Steel",3800000,"Wet","Continuous","Production","sample-118","Stainless Steel","Daily",NA,NA,NA,NA,"Daily","Shannon",1.65940679784124,NA
"23","NL.41.2","yes","Fall","Facility3","Conveyor","Filling","Filling",2,"Yes","No","Rubber",0,"Dry","Continuous","Production","sample-119","Rubber","Daily",NA,NA,NA,NA,"Daily","Shannon",0.936445045838365,NA
"24","B.20.2","no","Fall","Facility2","Non-FPE Structure","Filling","Filling",3,"Yes","No","Stainless Steel",0,"Dry","Continuous","Production","sample-12","Stainless Steel","None",NA,NA,NA,NA,"None","Shannon",0.762504326824438,NA
"25","NL.41.4","yes","Spring","Facility3","Conveyor","Filling","Filling",2,"Yes","No","Rubber",0,"Dry","Continuous","Production","sample-120","Rubber","Daily",NA,NA,NA,NA,"Daily","Shannon",2.99080346519981,NA
"26","NL.41.3","yes","Winter","Facility3","Conveyor","Filling","Filling",2,"Yes","No","Rubber",800,"Dry","Continuous","Production","sample-121","Rubber","Daily",NA,NA,NA,NA,"Daily","Shannon",1.30278724303066,NA
"27","NL.42.2","yes","Fall","Facility3","Hose","Filling","Filling",2,"Yes","No","Teflon",0,"Dry","Continuous","Production","sample-122","Plastic","None",NA,NA,NA,NA,"None","Shannon",0.831433183741095,NA
"28","NL.43.4","yes","Spring","Facility3","Drain","Filling","Filling",3,"Yes","No","Metal",6800,"Wet","Continuous","Production","sample-123","Metal","Daily",NA,NA,NA,NA,"Daily","Shannon",0.459414134296285,NA
"29","NL.43.3","yes","Winter","Facility3","Drain","Filling","Filling",3,"Yes","No","Metal",14000,"Wet","Continuous","Production","sample-124","Metal","Daily",NA,NA,NA,NA,"Daily","Shannon",1.27025992641285,NA
"30","NL.44.2","yes","Fall","Facility3","Non-FPE Structure","Filling","Filling",3,"Yes","No","Spray painted wood",0,"Dry","Grille","Production","sample-125","Wood","None",NA,NA,NA,NA,"None","Shannon",0.444330282086402,NA
"31","NL.44.4","yes","Spring","Facility3","Non-FPE Structure","Filling","Filling",3,"Yes","No","Spray painted wood",10000,"Wet","Grille","Production","sample-126","Wood","None",NA,NA,NA,NA,"None","Shannon",2.43352110528652,NA
"32","NL.44.3","yes","Winter","Facility3","Non-FPE Structure","Filling","Filling",3,"Yes","No","Spray painted wood",2e+06,"Wet","Grille","Production","sample-127","Wood","None",NA,NA,NA,NA,"None","Shannon",2.295817759376,NA
"33","NL.46.2","no","Fall","Facility3","Non-FPE Structure","Filling","Filling",3,"Yes","No","Spray painted wood",0,"Wet","Grille","Production","sample-128","Wood","None",NA,NA,NA,NA,"None","Shannon",1.98638891272193,NA
"34","NL.46.4","no","Spring","Facility3","Non-FPE Structure","Filling","Filling",3,"Yes","No","Spray painted wood",800,"Dry","Grille","Production","sample-129","Wood","None",NA,NA,NA,NA,"None","Shannon",1.66287110171338,NA
"35","B.21.2","no","Fall","Facility2","Drain","Filling","Filling",3,"Yes","No","Stainless Steel",530000,"Wet","Continuous","Production","sample-13","Stainless Steel","As needed",NA,NA,NA,NA,"None/as needed","Shannon",1.75207855295095,NA
"36","NL.46.3","no","Winter","Facility3","Non-FPE Structure","Filling","Filling",3,"Yes","No","Spray painted wood",320000,"Wet","Grille","Production","sample-130","Wood","None",NA,NA,NA,NA,"None","Shannon",1.16392870230293,NA
"37","NL.47.2","no","Fall","Facility3","FPE Structure","Filling","Filling",2,"Yes","No","Stainless Steel",0,"Dry","Continuous","Production","sample-131","Stainless Steel","Daily",NA,NA,NA,NA,"Daily","Shannon",0.708600237576883,NA
"38","NL.47.4","no","Spring","Facility3","FPE Structure","Filling","Filling",2,"Yes","No","Stainless Steel",0,"Dry","Continuous","Production","sample-132","Stainless Steel","Daily",NA,NA,NA,NA,"Daily","Shannon",0.521897696629755,NA
"39","NL.48.2","no","Fall","Facility3","Door","Filling","Filling",3,"Yes","No","Plastic",0,"Dry","Continuous","Production","sample-133","Plastic","None","no data","Ambient/Warm (~75-80)","Low",0,"None","Shannon",1.49715516795736,NA
"40","NL.05.2","yes","Fall","Facility3","Cleaning Tools","Dry Storage","Warehouse",3,"Yes","No","Rubber, Metal",0,"Dry","Continuous","Storage","sample-134","Rubber, Metal","Daily",NA,NA,NA,NA,"Daily","Shannon",0.515046157931431,NA
"41","NL.05.4","yes","Spring","Facility3","Floor Object","Dry Storage","Warehouse",3,"Yes","No","Painted Metal",2800,"Dry","Continuous","Storage","sample-135","Metal","None","Humid(60-80)","Cool (~60-68)","Medium",3.45,"None","Shannon",2.89106529772225,NA
"42","NL.05.3","yes","Winter","Facility3","Cleaning Tools","Dry Storage","Warehouse",3,"Yes","No","Rubber, Metal",6400,"Dry","Continuous","Storage","sample-136","Rubber, Metal","Daily",NA,NA,NA,NA,"Daily","Shannon",2.78003068604174,NA
"43","NL.50.2","yes","Fall","Facility3","Floor Object","Cold Storage","Warehouse",3,"Yes","No","Cement",150,"Wet","Continuous","Storage","sample-137","Cement","Daily","Standard/Dry(0-30)","Cold(~55-40)","Low",2.18,"Daily","Shannon",3.72420219864289,NA
"44","NL.50.4","yes","Spring","Facility3","Floor Object","Cold Storage","Warehouse",3,"Yes","No","Cement",38000,"Wet","Continuous","Storage","sample-138","Cement","Daily","Standard/Dry(0-30)","Cold(~55-40)","Medium",4.58,"Daily","Shannon",3.16503513659949,NA
"45","NL.50.3","yes","Winter","Facility3","Floor Object","Cold Storage","Warehouse",3,"Yes","No","Cement",0,"Wet","Continuous","Storage","sample-139","Cement","Daily","Standard/Dry(0-30)","Cold(~55-40)","Low",0,"Daily","Shannon",3.42956426548695,NA
"46","B.22.2","no","Fall","Facility2","Non-FPE Structure","Filling","Filling",3,"None","No","Metal",145000,"Wet","Continuous","Production","sample-14","Metal","Daily",NA,NA,NA,NA,"Daily","Shannon",0.3597050252987,NA
"47","NL.51.2","no","Fall","Facility3","Fan/Vent","Cold Storage","Warehouse",3,"Yes","No","Metal",4000,"Dry","Grille","Storage","sample-140","Metal","None","Standard/Dry(0-30)","Cold(~55-40)","Medium",3.6,"None","Shannon",1.56768890202746,NA
"48","NL.51.4","no","Spring","Facility3","Fan/Vent","Cold Storage","Warehouse",3,"Yes","No","Metal",8000,"Dry","Grille","Storage","sample-141","Metal","None","Standard/Dry(0-30)","Cold(~55-40)","Medium",3.9,"None","Shannon",1.64046353013184,NA
"49","NL.51.3","no","Winter","Facility3","Fan/Vent","Cold Storage","Warehouse",3,"Yes","No","Metal",38400,"Dry","Grille","Storage","sample-142","Metal","None","Standard/Dry(0-30)","Cold(~55-40)","Medium",4.58,"None","Shannon",2.08137406812183,NA
"50","NL.52.2","yes","Fall","Facility3","Forklift/Pallet Jack","Cold Storage","Warehouse",3,"Yes","No","Rubber, Metal",300,"Dry","Continuous","Storage","sample-143","Rubber","As needed",NA,NA,NA,NA,"None/as needed","Shannon",3.27351177467065,NA
"51","NL.52.4","yes","Spring","Facility3","Forklift/Pallet Jack","Cold Storage","Warehouse",3,"Yes","No","Rubber, Metal",2800,"Dry","Continuous","Storage","sample-144","Rubber","As needed",NA,NA,NA,NA,"None/as needed","Shannon",2.56520499978078,NA
"52","NL.52.3","yes","Winter","Facility3","Forklift/Pallet Jack","Cold Storage","Warehouse",3,"Yes","No","Rubber, Metal",3200,"Dry","Continuous","Storage","sample-145","Rubber","As needed",NA,NA,NA,NA,"None/as needed","Shannon",2.54791863165952,NA
"53","NL.06.2","no","Fall","Facility3","Non-FPE Structure","Dry Storage","Warehouse",3,"Yes","Yes","Metal",0,"Dry","Continuous","Storage","sample-146","Metal","None",NA,NA,NA,NA,"None","Shannon",1.96355748584561,NA
"54","NL.06.4","no","Spring","Facility3","Non-FPE Structure","Dry Storage","Warehouse",3,"Yes","Yes","Metal",400,"Dry","Continuous","Storage","sample-147","Metal","None",NA,NA,NA,NA,"None","Shannon",3.15335900612807,NA
"55","NL.06.3","no","Winter","Facility3","Non-FPE Structure","Dry Storage","Warehouse",3,"Yes","Yes","Metal",800,"Dry","Continuous","Storage","sample-148","Metal","None",NA,NA,NA,NA,"None","Shannon",3.3514619087617,NA
"56","NL.07.2","yes","Fall","Facility3","Door","Dry Storage","Warehouse",3,"Yes","No","Rubber, Plastic",0,"Dry","Continuous","Storage","sample-149","Plastic","None","Humid(60-80)","Ambient (~70-75)","Low",0,"None","Shannon",1.10031489137801,NA
"57","B.22.4","no","Spring","Facility2","Non-FPE Structure","Filling","Filling",3,"None","No","Metal",4.6e+08,"Wet","Continuous","Production","sample-15","Metal","Daily",NA,NA,NA,NA,"Daily","Shannon",0.811549916850008,NA
"58","NL.07.4","yes","Spring","Facility3","Door","Dry Storage","Warehouse",3,"Yes","No","Rubber, Plastic",800,"Dry","Continuous","Storage","sample-150","Plastic","None","Humid(60-80)","Cool (~60-68)","Low",2.9,"None","Shannon",2.3778688942943,NA
"59","NL.07.3","yes","Winter","Facility3","Door","Dry Storage","Warehouse",3,"Yes","No","Rubber, Plastic",11200,"Dry","Continuous","Storage","sample-151","Plastic","None","Humid(60-80)","Cool (~60-68)","Medium",4.05,"None","Shannon",2.44259804146947,NA
"60","NL.08.2","no","Fall","Facility3","Floor Object","UF","Post-Pasteurization ",3,"Yes","No","Painted cinderblock, caulk, brick",0,"Dry","Continuous","Production","sample-152","Brick","None","Very Humid(>80)","warm (~80-90)","Low",0,"None","Shannon",0.399609718605228,NA
"61","NL.08.4","no","Spring","Facility3","Floor Object","UF","Post-Pasteurization ",3,"Yes","No","Painted cinderblock, caulk, brick",10800,"Dry","Continuous","Production","sample-153","Brick","None","Very Humid(>80)","Ambient (~70-75)","Medium",4.03,"None","Shannon",1.00493108210701,NA
"62","NL.09.3","no","Winter","Facility3","Non-FPE Structure","UF","Post-Pasteurization ",3,"Yes","No","Stainless Steel",41200,"Wet","Continuous","Production","sample-154","Stainless Steel","None",NA,NA,NA,NA,"None","Shannon",0.597636003105577,NA
"63","NL.E10.4","no","Spring","Facility3","Drain","Receiving","Warehouse",3,"No","No","Metal",1200000,"Dry","Grid","Receiving","sample-155","Metal",NA,NA,NA,NA,NA,NA,"Shannon",2.40866724627771,NA
"64","NL.11.4","no","Spring","Facility3","Cart/Rolling Bins","UF","Post-Pasteurization ",3,"Yes","No","Rubber, Metal",44400,"Dry","Continuous","Production","sample-156","Rubber","None",NA,NA,NA,NA,"None","Shannon",1.40528849205121,NA
"65","NL.E5.4","no","Spring","Facility3","Non-FPE Structure","Filling","Filling",3,"No","No","Cardboard",0,"Dry","Continuous","Production","sample-157","Cardboard",NA,NA,NA,NA,NA,NA,"Shannon",3.0178328996568,NA
"66","NL.E8.4","no","Spring","Facility3","Wall/Ceiling","Cold Storage","Warehouse",3,"Yes","No","Cincerblock, cement, wood",129000,"Dry","Continuous","Storage","sample-158","Cincerblock, cement, wood",NA,"Standard/Dry(0-30)","Cold(~55-40)","High",5.11,NA,"Shannon",1.71911444224735,NA
"67","NL.E9.4","no","Spring","Facility3","Floor Object","Receiving","Warehouse",3,"Yes","No","Diamond Rough Metal",153000,"Dry","Continuous","Receiving","sample-159","Metal",NA,"Standard/Dry(0-30)","Cold(~55-40)","High",5.18,NA,"Shannon",2.35108496917378,NA
"68","B.25.2","no","Fall","Facility2","Fan/Vent","Dry Storage","Warehouse",3,"Yes","No","Metal",150,"Dry","Grille","Storage","sample-16","Metal","As needed","Standard/Dry(0-30)","Cool (~60-68)","Low",2.18,"None/as needed","Shannon",3.03994185086081,NA
"69","WS.09.2","yes","Fall","Facility1","Hose","Raw Blend","Raw",2,"Yes","Yes","Rubber",365000,"Damp","Continuous","Production","sample-160","Rubber","Yearly",NA,NA,NA,NA,"Yearly","Shannon",2.44998375159652,NA
"70","WS.10.3","no","Winter","Facility1","Hose","Raw Blend","Raw",2,"Yes","No","Rubber",800,"Damp","Continuous","Production","sample-161","Rubber","None",NA,NA,NA,NA,"None","Shannon",1.84611627596871,NA
"71","WS.11.3","no","Winter","Facility1","Non-FPE Structure","Raw Blend","Raw",3,"Yes","No","Stainless Steel",160000,"Wet","Continuous","Production","sample-162","Stainless Steel","Weekly",NA,NA,NA,NA,"Weekly","Shannon",1.81946850254049,NA
"72","WS.12.2","no","Fall","Facility1","Fan/Vent","Raw Blend","Raw",2,"Yes","No","Painted Metal",0,"Dry","Grille","Production","sample-163","Metal","None","Standard (30-60)","Ambient (~70-75)","Low",0,"None","Shannon",2.35001610525847,NA
"73","WS.12.3","no","Winter","Facility1","Fan/Vent","Raw Blend","Raw",2,"Yes","No","Painted Metal",0,"Dry","Grille","Production","sample-164","Metal","None","Standard (30-60)","no data","Low",0,"None","Shannon",3.07986783931505,NA
"74","WS.14.2","yes","Fall","Facility1","Floor Object","Cold Storage","Warehouse",3,"Yes","No","Metal, Sealed concrete ",10700,"Dry","Grille","Storage","sample-165","Metal, Sealed concrete ","None","Very Humid(>80)","Cold(~55-40)","Medium",4.03,"None","Shannon",1.48056418543644,NA
"75","WS.14.4","yes","Spring","Facility1","Floor Object","Cold Storage","Warehouse",3,"Yes","No","Metal, Sealed concrete ",53200,"Dry","Grille","Storage","sample-166","Metal, Sealed concrete ","None","Very Humid(>80)","Cold(~55-40)","Medium",4.73,"None","Shannon",0.822490693912691,NA
"76","WS.14.3","yes","Winter","Facility1","Floor Object","Cold Storage","Warehouse",3,"Yes","No","Metal, Sealed concrete ",0,"Dry","Grille","Storage","sample-167","Metal, Sealed concrete ","None","Humid(60-80)","no data","Low",0,"None","Shannon",1.45092951817946,NA
"77","WS.15.2","no","Fall","Facility1","Non-FPE Structure","Cold Storage","Warehouse",3,"Yes","No","Metal",1000,"Wet","Grille","Storage","sample-168","Metal","None",NA,NA,NA,NA,"None","Shannon",0.533269441200218,NA
"78","WS.15.4","no","Spring","Facility1","Non-FPE Structure","Cold Storage","Warehouse",3,"Yes","No","Metal",320000,"Dry","Grille","Storage","sample-169","Metal","None",NA,NA,NA,NA,"None","Shannon",1.35769220477292,NA
"79","B.25.4","no","Spring","Facility2","Fan/Vent","Dry Storage","Warehouse",3,"Yes","No","Metal",2800,"Dry","Grille","Storage","sample-17","Metal","As needed","Standard/Dry(0-30)","Cool (~60-68)","Medium",3.45,"None/as needed","Shannon",3.53153904960037,NA
"80","WS.16.2","yes","Fall","Facility1","Floor Object","Cold Storage","Warehouse",3,"Yes","No","Metal",95000,"Wet","Perforated","Storage","sample-170","Metal","Weekly","Very Humid(>80)","Cold(~55-40)","Medium",4.98,"Weekly","Shannon",1.60101789983953,NA
"81","WS.16.4","yes","Spring","Facility1","Floor Object","Cold Storage","Warehouse",3,"Yes","No","Metal",4000,"Dry","Perforated","Storage","sample-171","Metal","Weekly","Very Humid(>80)","Cold(~55-40)","Medium",3.6,"Weekly","Shannon",1.30845030505509,NA
"82","WS.16.3","yes","Winter","Facility1","Floor Object","Cold Storage","Warehouse",3,"Yes","No","Metal",3600,"Wet","Perforated","Storage","sample-172","Metal","Weekly","Humid(60-80)","no data","Medium",3.56,"Weekly","Shannon",0.471349120287095,NA
"83","WS.17.2","no","Fall","Facility1","Cleaning Tools","Cold Storage","Warehouse",3,"None","No","Rubber, Plastic",250,"Dry","Continuous","Storage","sample-173","Plastic","Daily",NA,NA,NA,NA,"Daily","Shannon",1.96654821247453,NA
"84","WS.17.3","no","Winter","Facility1","Cleaning Tools","Cold Storage","Warehouse",3,"None","No","Rubber, Plastic",400,"Dry","Continuous","Storage","sample-174","Plastic","Daily",NA,NA,NA,NA,"Daily","Shannon",2.17117287743513,NA
"85","WS.18.2","no","Fall","Facility1","Wall/Ceiling","Cold Storage","Warehouse",3,"Yes","No","Painted Metal",46200,"Dry","Continuous","Storage","sample-175","Metal","None","Very Humid(>80)","Cold(~55-40)","Medium",4.66,"None","Shannon",1.04264496335395,NA
"86","WS.18.4","no","Spring","Facility1","Wall/Ceiling","Cold Storage","Warehouse",3,"Yes","No","Painted Metal",2360000,"Dry","Continuous","Storage","sample-176","Metal","None","Very Humid(>80)","Cold(~55-40)","High",6.37,"None","Shannon",0.709008344051128,NA
"87","WS.18.3","no","Winter","Facility1","Wall/Ceiling","Cold Storage","Warehouse",3,"Yes","No","Painted Metal",2960000,"Dry","Continuous","Storage","sample-177","Metal","None","Humid(60-80)","no data","High",6.47,"None","Shannon",0.784756230305782,NA
"88","WS.20.2","yes","Fall","Facility1","Drain","Cheese Room","Post-Pasteurization ",3,"Yes","No","Stainless Steel",1450,"Wet","Perforated","Production","sample-178","Stainless Steel","monthly ",NA,NA,NA,NA,"monthly ","Shannon",2.22304993563951,NA
"89","WS.20.4","yes","Spring","Facility1","Drain","Cheese Room","Post-Pasteurization ",3,"Yes","No","Stainless Steel",64000,"Wet","Perforated","Production","sample-179","Stainless Steel","monthly ",NA,NA,NA,NA,"monthly ","Shannon",2.30388199807451,NA
"90","B.26.2","no","Fall","Facility2","Door","Dry Storage","Warehouse",3,"Yes","No","Metal",2450,"Dry","Continuous","Storage","sample-18","Metal","As needed","Standard/Dry(0-30)","Cool (~60-68)","Medium",3.39,"None/as needed","Shannon",1.81070741818911,NA
"91","WS.20.3","yes","Winter","Facility1","Drain","Cheese Room","Post-Pasteurization ",3,"Yes","No","Stainless Steel",192000,"Wet","Perforated","Production","sample-180","Stainless Steel","monthly ",NA,NA,NA,NA,"monthly ","Shannon",1.96691893706436,NA
"92","WS.21.3","no","Winter","Facility1","Door","Cheese Room","Post-Pasteurization ",3,"Yes","No","Plastic",0,"Damp","Continuous","Production","sample-181","Plastic","Continuous","Standard (30-60)","no data","Low",0,"Continuous","Shannon",3.54583778507869,NA
"93","WS.22.2","no","Fall","Facility1","Cart/Rolling Bins","Cheese Room","Post-Pasteurization ",3,"Yes","No","Rubber, Metal",0,"Dry","Continuous","Production","sample-182","Rubber","None",NA,NA,NA,NA,"None","Shannon",2.07476646793501,NA
"94","WS.23.2","no","Fall","Facility1","Hose","Cheese Room","Post-Pasteurization ",2,"Yes","No","Rubber",0,"Dry","Continuous","Production","sample-183","Rubber","None",NA,NA,NA,NA,"None","Shannon",1.28045555853757,NA
"95","WS.23.3","no","Winter","Facility1","Hose","Cheese Room","Post-Pasteurization ",2,"Yes","No","Rubber",0,"Dry","Continuous","Production","sample-184","Rubber","None",NA,NA,NA,NA,"None","Shannon",2.28052484254699,NA
"96","WS.24.2","yes","Fall","Facility1","Floor Object","Cheese Room","Post-Pasteurization ",3,"Yes","No","Metal",0,"Dry","Grid","Production","sample-185","Metal","None","Standard (30-60)","Ambient (~70-75)","Low",0,"None","Shannon",1.9170957186201,NA
"97","WS.24.4","yes","Spring","Facility1","Floor Object","Cheese Room","Post-Pasteurization ",3,"Yes","No","Metal",0,"Dry","Grid","Production","sample-186","Metal","None","Standard (30-60)","Ambient (~70-75)","Low",0,"None","Shannon",2.22614987099245,NA
"98","WS.24.3","yes","Winter","Facility1","Floor Object","Cheese Room","Post-Pasteurization ",3,"Yes","No","Metal",0,"Dry","Grid","Production","sample-187","Metal","None","Standard (30-60)","Ambient (~70-75)","Low",0,"None","Shannon",2.2318218649383,NA
"99","WS.27.2","yes","Fall","Facility1","Hose","Cheese Room","Post-Pasteurization ",2,"Yes","Yes","Metal",14400,"Dry","Continuous","Production","sample-188","Metal","None",NA,NA,NA,NA,"None","Shannon",0.734019165334163,NA
"100","WS.27.4","yes","Spring","Facility1","Hose","Cheese Room","Post-Pasteurization ",2,"Yes","Yes","Metal",1600,"Dry","Continuous","Production","sample-189","Metal","None",NA,NA,NA,NA,"None","Shannon",1.21666156396499,NA
"101","B.26.4","no","Spring","Facility2","Door","Dry Storage","Warehouse",3,"Yes","No","Metal",400,"Dry","Continuous","Storage","sample-19","Metal","As needed","Standard/Dry(0-30)","Cool (~60-68)","Low",2.6,"None/as needed","Shannon",4.27875615230868,NA
"102","WS.27.3","yes","Winter","Facility1","Hose","Cheese Room","Post-Pasteurization ",2,"Yes","Yes","Metal",11200,"Dry","Continuous","Production","sample-190","Metal","None",NA,NA,NA,NA,"None","Shannon",0.827767374350164,NA
"103","WS.28.4","no","Spring","Facility1","FPE Structure","Kosher Cheese Room","Post-Pasteurization ",2,"Yes","No","Stainless Steel",62800,"Dry","Continuous","Production","sample-191","Stainless Steel","Daily",NA,NA,NA,NA,"Daily","Shannon",1.5293904142042,NA
"104","WS.28.3","no","Winter","Facility1","FPE Structure","Kosher Cheese Room","Post-Pasteurization ",2,"Yes","No","Stainless Steel",234000,"Dry","Continuous","Production","sample-192","Stainless Steel","Daily",NA,NA,NA,NA,"Daily","Shannon",1.50337102551118,NA
"105","WS.29.3","no","Winter","Facility1","Floor Object","Kosher Cheese Room","Post-Pasteurization ",3,"Yes","No","Sealed Stone",6000,"Wet","Continuous","Production","sample-193","Sealed Stone","None/as needed","Standard (30-60)","no data","Medium",3.78,"None/as needed","Shannon",0.569202675173868,NA
"106","WS.31.2","no","Fall","Facility1","FPE Structure","Kosher Cheese Room","Post-Pasteurization ",2,"Yes","No","Stainless Steel",35000,"Dry","Continuous","Production","sample-194","Stainless Steel","Daily",NA,NA,NA,NA,"Daily","Shannon",0.468309448002942,NA
"107","WS.31.4","no","Spring","Facility1","FPE Structure","Kosher Cheese Room","Post-Pasteurization ",2,"Yes","No","Stainless Steel",9200,"Dry","Continuous","Production","sample-195","Stainless Steel","Daily",NA,NA,NA,NA,"Daily","Shannon",1.66833755751526,NA
"108","WS.31.3","no","Winter","Facility1","FPE Structure","Kosher Cheese Room","Post-Pasteurization ",2,"Yes","No","Stainless Steel",61600,"Dry","Continuous","Production","sample-196","Stainless Steel","Daily",NA,NA,NA,NA,"Daily","Shannon",0.953434428812923,NA
"109","WS.33.4","no","Spring","Facility1","Non-FPE Structure","Cheese Room","Post-Pasteurization ",2,"None","No","Stainless Steel",19600,"Wet","Continuous","Production","sample-197","Stainless Steel","None",NA,NA,NA,NA,"None","Shannon",1.16957101964011,NA
"110","WS.35.2","yes","Fall","Facility1","Drain","Cheese Room","Post-Pasteurization ",3,"Yes","No","Stainless Steel",2.48e+08,"Wet","Perforated","Production","sample-198","Stainless Steel","monthly ",NA,NA,NA,NA,"monthly ","Shannon",2.23296178676559,NA
